ID,유스케이스명,설명,주요 액터,사전 조건,사후 조건,비고
UC-A-001,관리자 대시보드 조회,미승인 주문·QnA·재고부족·통계 등 요약 현황 표시,관리자(MANAGER/ADMIN),관리자 로그인 상태,대시보드 각 위젯 데이터 렌더링 완료,최신 5~10건 집계
UC-A-002,회원 목록 조회,전체 회원 목록을 페이징·검색으로 조회,관리자(MANAGER/ADMIN),관리자 로그인 상태,회원 목록 출력,이름/이메일 검색
UC-A-003,회원 상세 조회,특정 회원의 상세 정보 조회,관리자(MANAGER/ADMIN),회원이 DB에 존재,회원 상세 정보 출력,가입일·상태 포함
UC-A-004,회원 강퇴,회원 상태를 DEACTIVATE로 변경,관리자(ADMIN),회원이 ACTIVATE 상태,memberStatus = DEACTIVATE 처리,memberStatus ENUM
UC-A-005,관리자 권한 변경,회원 역할을 USER/MANAGER/ADMIN으로 변경,관리자(ADMIN),대상 회원이 존재,memberRole 변경 완료,ADMIN만 실행 가능
UC-A-006,탈퇴 회원 관리,deleted_at 기준 탈퇴 회원 목록 조회,관리자(MANAGER/ADMIN),관리자 로그인 상태,탈퇴 회원 목록 출력,soft delete 기준
UC-A-007,주문 목록 조회,전체 주문 목록을 페이징·검색으로 조회,관리자(MANAGER/ADMIN),관리자 로그인 상태,주문 목록 출력,주문번호/회원 검색
UC-A-008,주문 상세 조회,특정 주문의 상세 정보 조회,관리자(MANAGER/ADMIN),주문이 DB에 존재,주문 상세(상품·결제·배송) 출력,
UC-A-009,주문 상태 변경,주문 상태를 PENDING/PAYED/APPROVAL/CANCELED로 변경,관리자(MANAGER/ADMIN),주문이 DB에 존재,order_status 변경 완료,결제 상태 연동
UC-A-010,주문 취소 처리,관리자 측 주문 강제 취소,관리자(MANAGER/ADMIN),주문이 PAYED 이하 상태,order_status = CANCELED 처리,결제 취소 연동
UC-A-011,배송 목록 조회,전체 배송 목록을 상태별로 조회,관리자(MANAGER/ADMIN),관리자 로그인 상태,배송 목록 출력,상태별 필터
UC-A-012,운송장 등록,택배사명 및 운송장 번호 입력,관리자(MANAGER/ADMIN),배송이 READY 상태,courier·tracking_number 저장 완료,관리자 직접 입력
UC-A-013,배송 상태 변경,배송 상태를 단계별로 변경,관리자(MANAGER/ADMIN),배송이 DB에 존재,delivery_status 변경 완료,READY→SHIPPED→IN_TRANSIT→DELIVERED
UC-A-014,상품 목록 조회,상품 정보 및 이미지 목록 조회,관리자(MANAGER/ADMIN),관리자 로그인 상태,상품 목록 출력,썸네일 포함
UC-A-015,상품 등록,상품 정보 및 이미지 업로드,관리자(MANAGER/ADMIN),관리자 로그인 상태,product 테이블에 저장 완료,썸네일 필수
UC-A-016,상품 수정,상품 정보(재고·가격 등) 수정,관리자(MANAGER/ADMIN),상품이 DB에 존재,product 정보 수정 완료,재고/가격 변경
UC-A-017,상품 삭제,상품을 soft delete 처리,관리자(ADMIN),상품이 ACTIVATE 상태,product_status = DELETE 처리,deleted_at 기록
UC-A-018,카테고리 등록,상위/하위 카테고리 등록,관리자(MANAGER/ADMIN),관리자 로그인 상태,category_top/sub 저장 완료,
UC-A-019,카테고리 수정,카테고리 이름 및 정렬 순서 수정,관리자(MANAGER/ADMIN),카테고리가 DB에 존재,카테고리 정보 수정 완료,정렬 순서 포함
UC-A-020,카테고리 삭제,카테고리 상태 변경(DEACTIVATE/DELETE),관리자(ADMIN),카테고리가 DB에 존재,카테고리 상태 변경 완료,soft delete 개념
UC-A-021,공지사항 목록 조회,공지사항 목록 조회(상단 고정 우선),관리자(MANAGER/ADMIN),관리자 로그인 상태,공지사항 목록 출력,is_fixed 기준 상단 고정
UC-A-022,공지사항 등록,신규 공지사항 추가,관리자(MANAGER/ADMIN),관리자 로그인 상태,notice 테이블에 저장 완료,
UC-A-023,공지사항 수정,공지사항 제목·내용 수정,관리자(MANAGER/ADMIN),공지사항이 DB에 존재,공지사항 수정 완료,
UC-A-024,공지사항 삭제,공지사항 soft delete 처리,관리자(MANAGER/ADMIN),공지사항이 DB에 존재,deleted_at 기록 완료,
UC-A-025,리뷰 목록 조회,리뷰 및 해당 상품 목록 조회,관리자(MANAGER/ADMIN),관리자 로그인 상태,리뷰 목록 출력,상품 이름 포함
UC-A-026,리뷰 삭제,리뷰 soft delete 처리,관리자(MANAGER/ADMIN),리뷰가 DB에 존재,deleted_at 기록 완료,
UC-A-027,질문 목록 조회,QnA 질문 목록 조회,관리자(MANAGER/ADMIN),관리자 로그인 상태,질문 목록 출력,
UC-A-028,질문 상세 조회,QnA 질문 내용 및 답변 상세 조회,관리자(MANAGER/ADMIN),질문이 DB에 존재,질문 상세 출력,
UC-A-029,답변 등록,QnA 질문에 대한 답변 등록,관리자(MANAGER/ADMIN),질문이 WAITING/PROCESSING 상태,qna_status = COMPLETE 처리,
UC-A-030,답변 수정,등록한 답변 내용 수정,관리자(MANAGER/ADMIN),답변이 DB에 존재,답변 내용 수정 완료,
UC-A-031,답변 삭제,답변 soft delete 처리,관리자(MANAGER/ADMIN),답변이 DB에 존재,deleted_at 기록 완료,
UC-M-001,회원가입,이메일·비밀번호·이름·전화번호·주소 입력 후 가입,사용자(비회원),로그아웃 상태,member 테이블에 저장·로그인 페이지 이동,email UNIQUE 체크
UC-M-002,로그인,이메일+비밀번호 로그인 및 JWT 토큰 발급,사용자(회원),회원가입 완료·로그아웃 상태,Access/Refresh Token 발급·메인으로 이동,BCrypt 검증
UC-M-003,로그아웃,JWT 토큰 무효화 처리,사용자(회원),로그인 상태,클라이언트 토큰 삭제 완료,클라이언트 측 토큰 제거
UC-M-004,마이페이지 주문 현황 조회,주문한 상품의 현재 상태 요약 조회,사용자(회원),로그인 상태,주문 상태별 현황 카운트 출력,입금대기~배송완료 6단계
UC-M-005,마이페이지 주문/배송 조회,주문한 상품의 상태 목록 조회,사용자(회원),로그인 상태,최신 주문/배송 목록 출력,최신 5~10건
UC-M-006,마이페이지 리뷰 조회,작성한 리뷰 목록 조회,사용자(회원),로그인 상태,작성 리뷰 목록 출력,최신 5~10건
UC-M-007,마이페이지 QnA 조회,작성한 QnA 질문 조회 및 답변 상태 확인,사용자(회원),로그인 상태,작성 QnA 목록 및 답변 여부 출력,
UC-M-008,회원 정보 수정,이름·전화번호·주소 수정,사용자(회원),로그인·ACTIVATE 상태,member 정보 수정·updated_at 갱신,
UC-M-009,비밀번호 변경,현재 비밀번호 확인 후 새 비밀번호로 변경,사용자(회원),로그인·ACTIVATE 상태,비밀번호 BCrypt 재암호화·저장 완료,현재 비밀번호 검증 필요
UC-M-010,회원 탈퇴,계정 soft delete 처리 및 즉시 로그아웃,사용자(회원),로그인·ACTIVATE 상태,"memberStatus = DELETE·deleted_at 기록·로그아웃",
UC-M-011,주문 목록 조회,본인의 전체 주문 목록 조회,사용자(회원),로그인 상태,주문 목록 최신순 출력,상태별 필터
UC-M-012,주문 상세 조회,주문 상품·결제 금액·배송지 정보 상세 조회,사용자(회원),주문이 본인 소유,주문 상세 정보 출력,주문 상품 목록 포함
UC-M-013,주문 취소 요청,결제 전/후 취소 요청,사용자(회원),주문이 PENDING 상태,order_status = CANCELED 처리,결제 상태 연동
UC-M-014,배송 상태 조회,주문별 현재 배송 상태 확인,사용자(회원),주문이 본인 소유,배송 상태 단계 출력,READY~DELIVERED 단계
UC-M-015,운송장 번호 조회,택배사명 및 운송장 번호 확인,사용자(회원),배송이 SHIPPED 이상 상태,운송장 정보 출력,
UC-M-016,작성 리뷰 목록 조회,본인이 작성한 리뷰 전체 목록 조회,사용자(회원),로그인 상태,리뷰 목록 최신순 출력,
UC-M-017,작성 리뷰 상세 조회,리뷰 내용·평점·이미지 상세 확인,사용자(회원),리뷰가 본인 소유,리뷰 상세 정보 출력,작성 상품 링크 포함
UC-M-018,리뷰 수정,작성한 리뷰 내용 및 평점 수정,사용자(회원),리뷰가 본인 소유,리뷰 수정·updated_at 갱신,
UC-M-019,리뷰 삭제,작성한 리뷰 soft delete 처리,사용자(회원),리뷰가 본인 소유,deleted_at 기록 완료,
UC-M-020,작성한 질문 목록 조회,본인이 작성한 질문 전체 목록 조회,사용자(회원),로그인 상태,질문 목록 최신순 출력,
UC-M-021,작성한 질문 상세 조회,질문 내용 및 답변 상태 상세 확인,사용자(회원),질문이 본인 소유,질문 상세 및 답변 여부 출력,
UC-M-022,질문 수정,작성한 질문 내용 수정,사용자(회원),"질문이 본인 소유·WAITING 상태",질문 내용 수정·updated_at 갱신,답변 전에만 수정 가능
