기능 ID,도메인,기능명,설명,연관 UC,HTTP 메서드,요청 URL,입력값,출력값,처리 흐름
FA-001,관리자 - 대시보드,관리자 대시보드 조회,미승인 주문·QnA·재고 부족·통계 요약 표시,UC-A-001,GET,/admin,-,대시보드 집계 데이터(JSON),1.인증 확인 → 2.각 집계 쿼리 실행 → 3.대시보드 데이터 반환
FA-002,관리자 - 회원 관리,회원 목록 조회,전체 회원 목록 페이징·검색 조회,UC-A-002,GET,/admin/member/list,"?page, ?keyword","회원 목록(JSON, 페이징)",1.검색 조건 파싱 → 2.DB 페이징 조회 → 3.목록 반환
FA-003,관리자 - 회원 관리,회원 상세 조회,특정 회원 정보 상세 조회,UC-A-002,GET,/admin/member/detail/{id},PathVariable: id,회원 상세 객체(JSON),1.id로 회원 조회 → 2.상세 데이터 반환
FA-004,관리자 - 회원 관리,회원 강퇴,회원 상태 변경 (ACTIVATE/DEACTIVATE/DELETE),UC-A-003,PATCH,/admin/member/{id}/status,{ memberStatus },변경 결과(JSON),1.ADMIN 권한 확인 → 2.상태 변경 → 3.결과 반환
FA-005,관리자 - 회원 관리,관리자 권한 변경,회원 역할 변경 (USER/MANAGER/ADMIN),UC-A-003,PATCH,/admin/member/{id}/role,{ memberRole },변경 결과(JSON),1.ADMIN 권한 확인 → 2.역할 변경 → 3.결과 반환
FA-006,관리자 - 회원 관리,탈퇴 회원 관리,deleted_at 기준 탈퇴 회원 목록 조회,UC-A-002,GET,/admin/member/list,?status=DELETE,탈퇴 회원 목록(JSON),1.memberStatus=DELETE 필터 → 2.목록 반환
FA-007,관리자 - 주문 관리,주문 목록 조회,전체 주문 목록 페이징·검색 조회,UC-A-006,GET,/admin/order/list,"?page, ?keyword","주문 목록(JSON, 페이징)",1.검색 조건 파싱 → 2.DB 페이징 조회 → 3.목록 반환
FA-008,관리자 - 주문 관리,주문 상세 조회,특정 주문 상세 정보 조회,UC-A-006,GET,/admin/order/detail/{id},PathVariable: id,주문·결제·배송 상세(JSON),1.id로 주문 조회 → 2.연관 결제·배송 조회 → 3.상세 반환
FA-009,관리자 - 주문 관리,주문 상태 변경,주문 상태 ENUM 변경,UC-A-006,PATCH,/admin/order/{id}/status,{ orderStatus },변경 결과(JSON),1.현재 상태 확인 → 2.상태 변경 → 3.결과 반환
FA-010,관리자 - 주문 관리,주문 취소 처리,관리자 측 주문 강제 취소,UC-A-007,PATCH,/admin/order/{id}/cancel,{ cancelReason },취소 처리 결과(JSON),1.취소 가능 상태 확인 → 2.주문·결제 상태 변경 → 3.결과 반환
