기능 ID,기능명,설명,연관 UC,HTTP 메서드,요청 URL,입력값,출력값,처리 흐름
FA-001,관리자 대시보드 조회,"미승인 주문·QnA·재고부족·통계·신규 회원 등 요약 현황 표시",UC-A-001,GET,/admin,-,대시보드 위젯 데이터(JSON),1. 관리자 JWT 인증 확인 → 2. 각 도메인 집계 쿼리 실행 → 3. DashboardResponse DTO 조합 → 4. JSON 반환
FA-002,회원 목록 조회,"전체 회원 목록을 페이징·키워드 검색으로 조회",UC-A-002,GET,/admin/member/list,"page, size, keyword (Query Param)","Page<MemberResponse>",1. 관리자 인증 확인 → 2. 검색 파라미터 파싱 → 3. 이름/이메일 LIKE 조회 → 4. 페이징 결과 반환
FA-003,회원 상세 조회,특정 회원의 상세 정보 조회,UC-A-003,GET,/admin/member/{id},memberId (Path Variable),MemberDetailResponse (가입일·상태·역할 포함),1. 관리자 인증 확인 → 2. memberId로 DB 조회 → 3. MemberDetailResponse 반환
FA-004,회원 강퇴,"회원 상태를 ACTIVATE / DEACTIVATE / DELETE로 변경",UC-A-004,PATCH,/admin/member/{id}/status,"memberId (Path), { memberStatus } (Body)",수정 완료 응답,1. ADMIN 권한 확인 → 2. 대상 회원 존재 확인 → 3. memberStatus ENUM 변경 → 4. 저장 → 5. 응답 반환
FA-005,관리자 권한 변경,"회원 역할을 USER / MANAGER / ADMIN으로 변경",UC-A-005,PATCH,/admin/member/{id}/role,"memberId (Path), { memberRole } (Body)",수정 완료 응답,1. ADMIN 권한 확인 → 2. 대상 회원 존재 확인 → 3. memberRole ENUM 변경 → 4. 저장 → 5. 응답 반환
FA-006,탈퇴 회원 관리,deleted_at 기준 탈퇴 회원 목록 조회,UC-A-006,GET,/admin/member/list,"page, size, status=DELETE (Query Param)","Page<MemberResponse>",1. 관리자 인증 확인 → 2. deleted_at IS NOT NULL 조건으로 조회 → 3. 페이징 결과 반환
FA-007,주문 목록 조회,"전체 주문 목록을 페이징·주문번호/회원 검색으로 조회",UC-A-007,GET,/admin/order,"page, size, keyword (Query Param)","Page<OrderResponse>",1. 관리자 인증 확인 → 2. 검색 파라미터 파싱 → 3. 주문번호/회원명 LIKE 조회 → 4. 페이징 결과 반환
FA-008,주문 상세 조회,"특정 주문의 상품·결제·배송 상세 정보 조회",UC-A-008,GET,/admin/order/{id},orderId (Path Variable),OrderDetailResponse (상품·결제·배송 포함),1. 관리자 인증 확인 → 2. orderId로 DB 조회 → 3. 주문 상품·결제·배송 JOIN → 4. OrderDetailResponse 반환
FA-009,주문 상태 변경,"주문 상태를 PENDING / PAYED / APPROVAL / CANCELED로 변경",UC-A-009,PATCH,/admin/order/{id}/status,"orderId (Path), { orderStatus } (Body)",수정 완료 응답,1. 관리자 인증 확인 → 2. 주문 존재 확인 → 3. orderStatus ENUM 변경 → 4. 결제 상태 연동 → 5. 저장
FA-010,주문 취소 처리,관리자 측 주문 강제 취소 처리,UC-A-010,PATCH,/admin/order/{id}/cancel,orderId (Path Variable),취소 완료 응답,1. 관리자 인증 확인 → 2. 주문이 PAYED 이하 상태 확인 → 3. orderStatus = CANCELED 처리 → 4. 결제 취소 연동 → 5. 저장
